movie_name,movie_score,movie_eval,img_src
头脑特工队,8.7,481680人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg
记忆碎片,8.7,502068人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
你的名字。,8.4,1120266人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
忠犬八公物语,9.2,154594人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg
荒蛮故事,8.8,348117人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg
真爱至上,8.6,594581人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg
海街日记,8.8,339347人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg
爆裂鼓手,8.7,458138人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg
贫民窟的百万富翁,8.6,622956人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg
东邪西毒,8.6,482812人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg
萤火虫之墓,8.7,349216人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg
寄生虫,8.8,1110222人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
惊魂记,9.0,204616人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
黑天鹅,8.6,682455人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
哈利·波特与火焰杯,8.6,453655人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg
无敌破坏王,8.7,432071人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
你看起来好像很好吃,8.9,275800人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg
小偷家族,8.7,674743人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
绿里奇迹,8.9,244117人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
冰川时代,8.6,509647人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
爱在午夜降临前,8.8,284512人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
雨人,8.7,338720人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg
恋恋笔记本,8.5,535401人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
疯狂的石头,8.5,655030人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
九品芝麻官,8.6,488923人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg
恐怖游轮,8.5,646418人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
奇迹男孩,8.6,467514人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
雨中曲,9.0,168425人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
魔女宅急便,8.7,374323人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
二十二,8.7,239419人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg
虎口脱险,8.9,195332人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
海边的曼彻斯特,8.6,393997人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg
人工智能,8.7,358271人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
2001太空漫游,8.8,238685人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg
色，戒,8.5,569646人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg
房间,8.8,318917人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
城市之光,9.3,108783人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
可可西里,8.8,240921人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg
罗生门,8.8,249132人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg
终结者2：审判日,8.7,284236人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
初恋这件小事,8.4,837015人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg
大佛普拉斯,8.7,334189人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg
波西米亚狂想曲,8.7,470766人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg
